PRESTADOR,DATAINICIO,CEP,ESTADO,MUNICIPIO,BAIRRO,TIPOLOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,PONTOREFERENCIA,QTDVAGASESTACIONAMENTO,TELEFONE1,WHATSAPP1,RAMAL1,TELEFONE2,WHATSAPP2,RAMAL2,FAX,MATRIZ,CORRESPONDENCIA,ATENDIMENTO,URGENCIAEMERGENCIA,IDPORTAL,PESSOAL,CNES,DATACANCELAMENTO,MOTIVOCANCELAMENTO,LATITUDE,LONGITUDE,DTATUALIZACAOLATITUDELONGITUDE
00463073000110,01012005,20020010,RJ,RIO DE JANEIRO,CENTRO,"","NILO PECANHA, 50","",SALA:  1306 / 1307  1308,"","",(000) 2524-7163,N,"","",N,"","",S,S,S,S,"",S,3342301,"","","","",""
88625686002443,01011996,90110270,RS,PORTO ALEGRE,MENINO DEUS,"","JOSE DE ALENCAR, 286","","","","",(051) 3230-6000,N,"","",N,"","",S,S,S,S,"",S,3007847,"","","","",""
61486650027979,04012010,83040300,PR,SAO JOSE DOS PINHAIS,SAO CRISTOVAO,"","DAS TORRES, 1992","","","","",(041) 3299-9233,N,"","",N,"","",S,S,S,S,"",S,5724058,"","","","",""
61486650027979,04012010,81650010,PR,CURITIBA,PORTAO,"","FRANCISCO FRISCHMANN, 2597","","","","",(041) 4004-0103,N,"","",N,"","",S,S,S,S,"",S,5724058,"","","","",""
76555069000143,11111999,80420090,PR,CURITIBA,BATEL,"","BATEL, 1889","","","","",(041) 3312-3000,N,"","",N,"","",S,S,S,S,"",S,3000869,"","","","",""
88625686002443,01011996,90880480,RS,PORTO ALEGRE,MENINO DEUS,"",RUA JOSE DE ALENCAR,286,"","","",(051) 3230-6000,N,"","",N,"","",S,S,S,S,"",S,3007847,"","","","",""
61486650027979,04012010,83900000,PR,SAO MATEUS DO SUL,CENTRO,"","PAULINO DE VAZ DA SILVA, 460","","","","",(041) 4004-0103,N,"","",N,"","",S,S,S,S,"",S,5724058,"","","","",""
61486650027979,04012010,83203540,PR,PARANAGUA,CENTRO,"","NESTOR VICTOR, 421","","","","",(041) 4004-0103,N,"","",N,"","",S,S,S,S,"",S,5724058,"","","","",""
88625686002443,01011996,90110230,RS,PORTO ALEGRE,PRAIA DE BELAS,"","MANOELITO DE ORNELLAS, 55 ","",16ยบ ANDAR ,"","",(051) 3230-6085,N,"","",N,"","",S,S,S,S,"",S,3007847,"","","","",""
88625686002443,01011996,90110270,RS,PORTO ALEGRE,MENINO DEUS,"",RUA COSTA,99,"","","",(051) 3230-6000,N,"","",N,"","",S,S,S,S,"",S,3007847,"","","","",""
